AGE,5000,10000,15000,20000
60,23.46,43.12,62.78,82.44
61,24.68,45.56,66.44,87.32
62,25.90,48.00,70.11,92.21
63,26.92,50.05,73.17,96.29
64,27.94,52.09,76.23,100.38
65,28.98,54.15,79.33,104.50
66,30.44,57.08,83.72,110.36
67,31.90,60.00,88.10,116.20
68,33.39,62.98,92.57,122.16
69,35.38,66.96,98.54,130.12
70,37.37,70.94,104.50,138.07
71,39.64,75.47,111.30,147.13
72,41.90,80.00,118.10,156.20
73,44.75,85.70,126.65,167.60
74,47.60,91.40,135.20,179.00
75,50.45,97.10,143.75,190.40
76,54.18,104.55,154.93,205.30
77,57.90,112.00,166.09,220.19
78,61.86,119.59,177.32,235.05
79,65.83,127.18,188.54,249.90
80,69.79,135.78,201.78,267.77 